"","Date.Time","Tmp_XL","pH_XL","Salt_XL","Tmp_L","pH_L","Salt_L","Tmp_A","pH_A","Salt_A"
"4",2018-06-07 00:00:00,"26.3","8.11","27.4","26.4","7.60","29.3","26.3","7.78","34.0"
"5",2018-06-07 00:05:00,"26.3","8.11","29.2","26.4","7.62","29.3","26.3","7.78","34.0"
"6",2018-06-07 00:10:00,"26.3","8.11","28.5","26.4","7.60","30.4","26.3","7.79","34.0"
"7",2018-06-07 00:15:00,"26.3","8.11","27.7","26.4","7.62","30.4","26.3","7.81","34.0"
"8",2018-06-07 00:20:00,"26.3","8.11","29.8","26.4","7.60","30.3","26.3","7.79","34.0"
"9",2018-06-07 00:25:00,"26.3","8.10","29.0","26.4","7.62","30.4","26.3","7.78","34.0"
"10",2018-06-07 00:30:00,"26.3","8.10","28.7","26.4","7.60","30.3","26.3","7.77","34.0"
"11",2018-06-07 00:35:00,"26.3","8.10","30.5","26.4","7.62","32.0","26.3","7.78","34.0"
"12",2018-06-07 00:40:00,"26.3","8.10","30.3","26.4","7.60","31.6","26.3","7.78","34.0"
"13",2018-06-07 00:45:00,"26.3","8.10","30.3","26.4","7.60","31.4","26.3","7.78","34.0"
"14",2018-06-07 00:50:00,"26.3","8.10","30.3","26.4","7.62","31.1","26.3","7.79","34.0"
"15",2018-06-07 00:55:00,"26.3","8.10","30.3","26.4","7.60","30.8","26.3","7.80","34.0"
"16",2018-06-07 01:00:00,"26.3","8.10","30.3","26.4","7.62","30.4","26.3","7.80","34.0"
"17",2018-06-07 01:05:00,"26.3","8.10","30.3","26.4","7.60","30.2","26.3","7.79","34.0"
"18",2018-06-07 01:10:00,"26.3","8.10","30.3","26.3","7.60","29.6","26.3","7.78","33.9"
"19",2018-06-07 01:15:00,"26.3","8.10","30.1","26.3","7.62","28.8","26.3","7.78","33.9"
"20",2018-06-07 01:20:00,"26.3","8.10","29.6","26.3","7.60","27.6","26.3","7.78","33.9"
"21",2018-06-07 01:25:00,"26.3","8.09","29.6","26.3","7.62","26.3","26.3","7.79","33.9"
"22",2018-06-07 01:30:00,"26.3","8.09","29.6","26.3","7.60","26.1","26.3","7.79","33.9"
"23",2018-06-07 01:35:00,"26.3","8.09","29.6","26.3","7.62","30.6","26.3","7.79","33.9"
"24",2018-06-07 01:40:00,"26.3","8.09","29.6","26.3","7.60","30.1","26.3","7.80","33.9"
"25",2018-06-07 01:45:00,"26.2","8.09","29.6","26.3","7.60","29.3","26.3","7.80","33.9"
"26",2018-06-07 01:50:00,"26.2","8.09","29.6","26.3","7.62","28.3","26.2","7.79","33.9"
"27",2018-06-07 01:55:00,"26.2","8.09","29.2","26.3","7.60","26.4","26.2","7.77","33.9"
"28",2018-06-07 02:00:00,"26.2","8.07","28.7","26.3","7.62","32.2","26.2","7.77","33.9"
"29",2018-06-07 02:05:00,"26.2","8.07","28.6","26.3","7.60","32.2","26.2","7.77","33.9"
"30",2018-06-07 02:10:00,"26.2","8.07","28.6","26.3","7.62","32.2","26.2","7.77","33.8"
"31",2018-06-07 02:15:00,"26.2","8.07","28.6","26.3","7.60","32.2","26.2","7.77","33.8"
"32",2018-06-07 02:20:00,"26.2","8.07","28.6","26.3","7.60","32.2","26.2","7.78","33.8"
"33",2018-06-07 02:25:00,"26.2","8.08","28.6","26.2","7.62","32.4","26.2","7.79","33.8"
"34",2018-06-07 02:30:00,"26.2","8.08","28.6","26.2","7.60","32.4","26.2","7.80","33.8"
"35",2018-06-07 02:35:00,"26.2","8.09","28.5","26.2","7.62","32.2","26.2","7.80","33.8"
"36",2018-06-07 02:40:00,"26.2","8.09","27.6","26.2","7.60","32.4","26.2","7.79","33.8"
"37",2018-06-07 02:45:00,"26.2","8.09","27.3","26.2","7.62","31.3","26.2","7.78","33.8"
"38",2018-06-07 02:50:00,"26.2","8.09","27.2","26.2","7.62","32.2","26.2","7.78","33.8"
"39",2018-06-07 02:55:00,"26.2","8.09","27.2","26.2","7.60","32.3","26.2","7.78","33.8"
"40",2018-06-07 03:00:00,"26.2","8.09","27.3","26.2","7.62","32.2","26.2","7.79","33.8"
"41",2018-06-07 03:05:00,"26.2","8.10","27.3","26.2","7.60","31.9","26.2","7.80","33.8"
"42",2018-06-07 03:10:00,"26.2","8.10","27.3","26.2","7.62","31.8","26.2","7.80","33.8"
"43",2018-06-07 03:15:00,"26.2","8.09","27.3","26.2","7.62","31.7","26.2","7.80","33.8"
"44",2018-06-07 03:20:00,"26.2","8.08","28.8","26.2","7.60","31.6","26.1","7.78","33.8"
"45",2018-06-07 03:25:00,"26.1","8.08","28.1","26.2","7.62","31.5","26.1","7.77","33.8"
"46",2018-06-07 03:30:00,"26.1","8.07","30.3","26.2","7.60","32.3","26.1","7.76","33.8"
"47",2018-06-07 03:35:00,"26.1","8.06","30.3","26.2","7.62","32.2","26.1","7.76","33.8"
"48",2018-06-07 03:40:00,"26.1","8.05","30.3","26.2","7.59","32.2","26.1","7.76","33.8"
"49",2018-06-07 03:45:00,"26.1","8.05","30.3","26.2","7.59","32.2","26.1","7.76","33.8"
"50",2018-06-07 03:50:00,"26.1","8.04","30.3","26.1","7.61","32.2","26.1","7.76","33.8"
"51",2018-06-07 03:55:00,"26.1","8.04","30.3","26.1","7.59","32.2","26.1","7.77","33.8"
"52",2018-06-07 04:00:00,"26.1","8.04","30.3","26.1","7.61","32.2","26.1","7.77","33.7"
"53",2018-06-07 04:05:00,"26.1","8.04","30.1","26.1","7.59","32.2","26.1","7.78","33.7"
"54",2018-06-07 04:10:00,"26.1","8.04","29.9","26.1","7.61","32.1","26.1","7.79","33.7"
"55",2018-06-07 04:15:00,"26.1","8.07","29.8","26.1","7.59","31.9","26.1","7.80","33.7"
"56",2018-06-07 04:20:00,"26.1","8.08","29.8","26.1","7.61","31.6","26.1","7.80","33.7"
"57",2018-06-07 04:25:00,"26.1","8.09","29.8","26.1","7.61","31.1","26.1","7.79","33.7"
"58",2018-06-07 04:30:00,"26.1","8.09","29.8","26.1","7.59","30.9","26.1","7.78","33.7"
"59",2018-06-07 04:35:00,"26.1","8.10","29.8","26.2","7.61","30.6","26.1","7.78","33.8"
"60",2018-06-07 04:40:00,"26.1","8.10","29.8","26.2","7.59","30.1","26.1","7.79","33.8"
