"","Date.Time","Tmp_XL","pH_XL","Salt_XL","Tmp_L","pH_L","Salt_L","Tmp_A","pH_A","Salt_A"
"4",2018-06-08 00:00:00,"26.5","7.24","30.5","26.4","7.61","32.6","26.3","7.80","34.0"
"5",2018-06-08 00:05:00,"26.5","7.40","30.5","26.4","7.59","32.4","26.3","7.80","34.0"
"6",2018-06-08 00:10:00,"26.5","7.36","30.5","26.4","7.61","32.6","26.3","7.78","34.0"
"7",2018-06-08 00:15:00,"26.5","7.34","30.5","26.4","7.57","32.6","26.3","7.77","34.0"
"8",2018-06-08 00:20:00,"26.5","7.30","30.5","26.4","7.60","32.6","26.3","7.77","34.0"
"9",2018-06-08 00:25:00,"26.5","7.37","30.5","26.4","7.57","32.6","26.3","7.77","34.0"
"10",2018-06-08 00:30:00,"26.5","7.39","30.5","26.4","7.60","32.6","26.3","7.77","34.0"
"11",2018-06-08 00:35:00,"26.5","7.36","30.5","26.4","7.59","32.4","26.3","7.78","34.0"
"12",2018-06-08 00:40:00,"26.5","7.32","30.5","26.4","7.60","32.6","26.3","7.78","34.0"
"13",2018-06-08 00:45:00,"26.5","7.26","30.5","26.4","7.59","32.6","26.3","7.79","34.0"
"14",2018-06-08 00:50:00,"26.5","7.40","30.5","26.4","7.59","32.6","26.3","7.79","34.0"
"15",2018-06-08 00:55:00,"26.5","7.36","30.5","26.4","7.61","32.6","26.3","7.80","34.0"
"16",2018-06-08 01:00:00,"26.5","7.33","30.5","26.4","7.57","32.6","26.3","7.80","34.0"
"17",2018-06-08 01:05:00,"26.5","7.30","30.5","26.4","7.60","32.6","26.3","7.80","34.0"
"18",2018-06-08 01:10:00,"26.5","7.41","30.5","26.4","7.57","32.6","26.3","7.77","34.0"
"19",2018-06-08 01:15:00,"26.5","7.38","30.5","26.4","7.60","32.4","26.3","7.76","34.0"
"20",2018-06-08 01:20:00,"26.5","7.35","30.5","26.4","7.59","32.6","26.3","7.75","34.0"
"21",2018-06-08 01:25:00,"26.5","7.32","29.3","26.4","7.59","32.6","26.3","7.75","34.0"
"22",2018-06-08 01:30:00,"26.5","7.30","30.5","26.4","7.59","32.6","26.3","7.75","34.0"
"23",2018-06-08 01:35:00,"26.5","7.40","30.5","26.4","7.59","32.4","26.3","7.76","34.0"
"24",2018-06-08 01:40:00,"26.5","7.36","30.3","26.4","7.61","32.4","26.4","7.76","34.0"
"25",2018-06-08 01:45:00,"26.5","7.33","30.3","26.4","7.59","32.1","26.4","7.76","34.0"
"26",2018-06-08 01:50:00,"26.5","7.28","30.3","26.4","7.61","32.6","26.4","7.77","34.0"
"27",2018-06-08 01:55:00,"26.5","7.40","30.3","26.4","7.57","32.4","26.4","7.77","34.0"
"28",2018-06-08 02:00:00,"26.5","7.36","30.3","26.4","7.60","32.6","26.4","7.78","34.0"
"29",2018-06-08 02:05:00,"26.5","7.33","30.3","26.3","7.57","32.6","26.3","7.78","34.0"
"30",2018-06-08 02:10:00,"26.5","7.27","30.3","26.3","7.59","32.6","26.3","7.79","33.9"
"31",2018-06-08 02:15:00,"26.5","7.40","30.3","26.3","7.61","32.6","26.3","7.79","33.9"
"32",2018-06-08 02:20:00,"26.5","7.36","30.3","26.3","7.57","32.4","26.3","7.79","33.9"
"33",2018-06-08 02:25:00,"26.5","7.33","30.3","26.3","7.61","32.6","26.3","7.79","33.9"
"34",2018-06-08 02:30:00,"26.5","7.26","30.3","26.3","7.57","32.6","26.3","7.80","33.9"
"35",2018-06-08 02:35:00,"26.5","7.40","30.3","26.3","7.60","32.6","26.3","7.78","33.9"
"36",2018-06-08 02:40:00,"26.5","7.36","30.3","26.3","7.59","32.4","26.3","7.76","33.9"
"37",2018-06-08 02:45:00,"26.4","7.34","30.3","26.3","7.59","31.8","26.3","7.76","33.9"
"38",2018-06-08 02:50:00,"26.4","7.28","30.3","26.3","7.61","30.9","26.3","7.76","33.9"
"39",2018-06-08 02:55:00,"26.4","7.40","30.3","26.3","7.57","32.4","26.3","7.76","33.9"
"40",2018-06-08 03:00:00,"26.4","7.36","30.3","26.3","7.61","32.6","26.3","7.76","33.9"
"41",2018-06-08 03:05:00,"26.4","7.33","30.3","26.3","7.57","32.5","26.3","7.76","33.9"
"42",2018-06-08 03:10:00,"26.4","7.26","30.3","26.3","7.60","32.5","26.3","7.76","33.9"
"43",2018-06-08 03:15:00,"26.4","7.40","30.3","26.3","7.59","32.4","26.3","7.76","33.9"
"44",2018-06-08 03:20:00,"26.4","7.35","30.3","26.3","7.59","32.5","26.3","7.77","33.9"
"45",2018-06-08 03:25:00,"26.4","7.32","30.3","26.3","7.61","32.4","26.3","7.77","33.9"
"46",2018-06-08 03:30:00,"26.4","7.34","30.3","26.3","7.57","32.4","26.3","7.78","33.9"
"47",2018-06-08 03:35:00,"26.4","7.38","30.3","26.3","7.61","32.4","26.3","7.78","33.9"
"48",2018-06-08 03:40:00,"26.4","7.34","30.3","26.3","7.57","32.5","26.3","7.79","33.9"
