Sample.ID,mass,salinity,Sample.ID,Type
20180607_JUNK,59.76,35,Junk,Junk
20180607_CRM1,59.96,33.331,CRM1,CRM
20180607_CRM2,59.45,33.331,CRM2,CRM
20180607_Tank12,59.45,34.03,Tank12,Tank
20180607_Tank11,59.4,33.49,Tank11,Tank
20180607_Tank14,59.12,33.96,Tank14,Tank
20180607_Tank13,59.3,34.03,Tank13,Tank
20180607_Tank15,59.04,34.2,Tank15,Tank
20180607_Tank10,59.42,33.98,Tank10,Tank
