sample,mass,salinity
20180602_CRM1,59.77,33.624
20180602_CRM2,60.36,33.624
20180602_CRM3,60.58,33.624
20180602_C7,59.96,35
20180602_C1,59.12,35
20180602_C9,59.59,35
20180602_C4,59.59,35
20180602_C6,60.6,35
20180602_C5,59.64,35
20180602_C2,60,35
20180602_C8,59.57,35
20180602_C3,60.52,35
