Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/6",,,,
Measured Values,,"Scope 1/1, Sample 1/6",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-27.6,,25.5,,
1,0.0010,-28.3,0.0010,25.5,-0.7,
2,0.0025,-28.5,0.0015,25.5,-0.2,
3,0.0050,-28.6,0.0025,25.5,-0.1,
4,0.0085,-28.5,0.0035,25.5,0.1,
5,0.0150,-28.3,0.0065,25.5,0.2,
6,0.0230,-27.7,0.0080,25.5,0.6,
7,0.0315,-26.9,0.0085,25.5,0.8,
8,0.0390,-26.1,0.0075,25.5,0.8,
9,0.0475,-24.8,0.0085,25.5,1.3,
10,0.0560,-23.6,0.0085,25.5,1.2,
11,0.0645,-22.3,0.0085,25.5,1.3,
12,0.0730,-20.8,0.0085,25.5,1.5,
13,0.0815,-19.2,0.0085,25.5,1.6,
14,0.0900,-17.4,0.0085,25.5,1.8,
15,0.0975,-15.6,0.0075,25.5,1.8,
16,0.1060,-13.6,0.0085,25.5,2.0,
17,0.1145,-11.6,0.0085,25.5,2.0,
18,0.1230,-9.5,0.0085,25.5,2.1,
19,0.1315,-7.5,0.0085,25.5,2.0,
20,0.1400,-4.7,0.0085,25.5,2.8,
21,0.1485,-2.1,0.0085,25.5,2.6,
22,0.1560,-0.3,0.0075,25.5,1.8,
23,0.1645,0.7,0.0085,25.5,1.0,
24,0.1730,3.1,0.0085,25.5,2.4,
25,0.1815,4.6,0.0085,25.5,1.5,
26,0.1900,5.6,0.0085,25.5,1.0,
27,0.1985,6.8,0.0085,25.5,1.2,
28,0.2070,8.4,0.0085,25.5,1.6,
29,0.2145,9.8,0.0075,25.5,1.4,
30,0.2230,11.2,0.0085,25.5,1.4,
31,0.2315,12.4,0.0085,25.5,1.2,
32,0.2400,13.6,0.0085,25.5,1.2,
33,0.2485,14.8,0.0085,25.5,1.2,
34,0.2570,15.8,0.0085,25.5,1.0,
35,0.2645,16.5,0.0075,25.5,0.7,
36,0.2730,17.4,0.0085,25.5,0.9,
37,0.2815,18.3,0.0085,25.5,0.9,
38,0.2900,19.2,0.0085,25.5,0.9,
39,0.2985,20.3,0.0085,25.5,1.1,
40,0.3070,21.2,0.0085,25.5,0.9,
41,0.3150,22.0,0.0080,25.5,0.8,
42,0.3230,22.8,0.0080,25.5,0.8,
43,0.3315,23.6,0.0085,25.5,0.8,
44,0.3400,24.4,0.0085,25.5,0.8,
45,0.3485,25.1,0.0085,25.5,0.7,
46,0.3565,26.1,0.0080,25.5,1.0,
47,0.3650,26.9,0.0085,25.5,0.8,
48,0.3735,27.7,0.0085,25.4,0.8,
49,0.3815,28.3,0.0080,25.4,0.6,
50,0.3900,29.2,0.0085,25.5,0.9,
51,0.3980,29.9,0.0080,25.5,0.7,
52,0.4065,30.6,0.0085,25.5,0.7,
53,0.4150,31.5,0.0085,25.5,0.9,
54,0.4235,32.2,0.0085,25.5,0.7,
55,0.4315,32.8,0.0080,25.5,0.6,
56,0.4395,33.5,0.0080,25.4,0.7,
57,0.4480,34.1,0.0085,25.4,0.6,
58,0.4565,34.9,0.0085,25.4,0.8,
59,0.4650,35.8,0.0085,25.4,0.9,
60,0.4735,36.6,0.0085,25.5,0.8,
61,0.4820,37.2,0.0085,25.5,0.6,
62,0.4895,37.8,0.0075,25.4,0.6,
63,0.4980,38.4,0.0085,25.4,0.6,
64,0.5065,39.1,0.0085,25.4,0.7,
65,0.5150,39.9,0.0085,25.4,0.8,
66,0.5235,40.5,0.0085,25.4,0.6,
67,0.5320,41.2,0.0085,25.4,0.7,
68,0.5405,41.8,0.0085,25.4,0.6,
69,0.5480,42.5,0.0075,25.4,0.7,
70,0.5565,43.2,0.0085,25.4,0.7,
71,0.5650,44.0,0.0085,25.4,0.8,
72,0.5735,44.7,0.0085,25.4,0.7,
73,0.5820,45.4,0.0085,25.4,0.7,
74,0.5905,46.0,0.0085,25.4,0.6,
75,0.5990,46.6,0.0085,25.4,0.6,
76,0.6065,47.1,0.0075,25.4,0.5,
77,0.6150,47.9,0.0085,25.4,0.8,
78,0.6235,48.6,0.0085,25.4,0.7,
79,0.6320,49.1,0.0085,25.4,0.5,
80,0.6405,50.0,0.0085,25.4,0.9,
81,0.6490,50.7,0.0085,25.4,0.7,
82,0.6565,52.1,0.0075,25.4,1.4,
83,0.6650,52.7,0.0085,25.4,0.6,
84,0.6735,52.9,0.0085,25.4,0.2,
85,0.6820,53.3,0.0085,25.4,0.4,
86,0.6905,54.1,0.0085,25.4,0.8,
87,0.6990,54.6,0.0085,25.4,0.5,
88,0.7075,55.5,0.0085,25.4,0.9,
89,0.7150,56.2,0.0075,25.4,0.7,
90,0.7235,56.5,0.0085,25.4,0.3,
91,0.7320,57.1,0.0085,25.4,0.6,
92,0.7405,57.8,0.0085,25.4,0.7,
93,0.7490,58.6,0.0085,25.4,0.8,
94,0.7575,59.4,0.0085,25.4,0.8,
95,0.7655,60.0,0.0080,25.4,0.6,
96,0.7735,60.5,0.0080,25.4,0.5,
97,0.7820,61.0,0.0085,25.4,0.5,
98,0.7905,61.7,0.0085,25.4,0.7,
99,0.7985,62.4,0.0080,25.4,0.7,
100,0.8070,63.2,0.0085,25.4,0.8,
101,0.8155,64.0,0.0085,25.4,0.8,
102,0.8240,64.6,0.0085,25.4,0.6,
103,0.8320,65.5,0.0080,25.4,0.9,
104,0.8400,66.1,0.0080,25.4,0.6,
105,0.8485,66.6,0.0085,25.4,0.5,
106,0.8570,67.5,0.0085,25.4,0.9,
107,0.8655,68.2,0.0085,25.4,0.7,
108,0.8740,69.1,0.0085,25.4,0.9,
109,0.8825,70.0,0.0085,25.4,0.9,
110,0.8900,70.6,0.0075,25.4,0.6,
111,0.8985,71.4,0.0085,25.4,0.8,
112,0.9070,72.2,0.0085,25.4,0.8,
113,0.9155,73.1,0.0085,25.4,0.9,
114,0.9240,73.6,0.0085,25.4,0.5,
115,0.9325,74.4,0.0085,25.4,0.8,
116,0.9400,75.1,0.0075,25.4,0.7,
117,0.9485,76.0,0.0085,25.4,0.9,
118,0.9570,77.0,0.0085,25.4,1.0,
119,0.9655,77.9,0.0085,25.4,0.9,
120,0.9740,78.7,0.0085,25.4,0.8,
121,0.9825,79.5,0.0085,25.4,0.8,
122,0.9910,80.6,0.0085,25.4,1.1,
123,0.9985,81.5,0.0075,25.4,0.9,
124,1.0070,82.1,0.0085,25.4,0.6,
125,1.0155,83.0,0.0085,25.4,0.9,
126,1.0240,84.2,0.0085,25.4,1.2,
127,1.0325,85.3,0.0085,25.4,1.1,
128,1.0410,86.2,0.0085,25.4,0.9,
129,1.0495,87.3,0.0085,25.4,1.1,
130,1.0570,88.3,0.0075,25.4,1.0,
131,1.0655,89.3,0.0085,25.4,1.0,
132,1.0740,91.0,0.0085,25.4,1.7,
133,1.0825,92.5,0.0085,25.4,1.5,
134,1.0910,92.8,0.0085,25.4,0.3,
135,1.0995,94.7,0.0085,25.4,1.9,
136,1.1080,95.5,0.0085,25.4,0.8,
137,1.1155,96.8,0.0075,25.4,1.3,
138,1.1240,98.3,0.0085,25.4,1.5,
139,1.1325,99.3,0.0085,25.4,1.0,
140,1.1410,101.0,0.0085,25.4,1.7,
141,1.1495,102.2,0.0085,25.4,1.2,
142,1.1580,104.3,0.0085,25.4,2.1,
143,1.1655,106.4,0.0075,25.4,2.1,
144,1.1740,107.9,0.0085,25.4,1.5,
145,1.1825,109.7,0.0085,25.4,1.8,
146,1.1910,112.0,0.0085,25.4,2.3,
147,1.1995,113.1,0.0085,25.4,1.1,
148,1.2080,115.4,0.0085,25.4,2.3,
149,1.2160,118.2,0.0080,25.4,2.8,
150,1.2240,120.4,0.0080,25.4,2.2,
151,1.2325,122.6,0.0085,25.4,2.2,
152,1.2410,125.7,0.0085,25.4,3.1,
153,1.2495,128.5,0.0085,25.4,2.8,
154,1.2575,130.9,0.0080,25.4,2.4,
155,1.2660,134.3,0.0085,25.4,3.4,
156,1.2745,136.9,0.0085,25.4,2.6,
157,1.2825,140.0,0.0080,25.4,3.1,
158,1.2905,143.0,0.0080,25.4,3.0,
159,1.2990,146.2,0.0085,25.4,3.2,
160,1.3075,149.3,0.0085,25.4,3.1,
