"Sample.ID","TA","Mass","Tank","Type"
"20180624_Tank11",2197.32678246224,59.42,"Tank11","Tank"
"20180624_Tank14",2198.08062968805,59.63,"Tank14","Tank"
"20180624_Tank15",2189.1529728859,59.28,"Tank15","Tank"
"20180624_Conical17",2181.53880354399,59.09,"Conical17","Conical"
"20180624_Conical16",2187.3464947185,59.22,"Conical16","Conical"
"20180624_Tank13",2189.35126793276,59.71,"Tank13","Tank"
"20180624_Tank10",2194.11033084011,59.31,"Tank10","Tank"
"20180624_Tank12",2190.38895398207,59.63,"Tank12","Tank"
"20180624_Conical18",2185.36869623592,59.6,"Conical18","Conical"
