Instrument	Sample.ID	Treatment	Temperature	pH.MV	Sal (mS/cm)
					
Toledo	Low_Header	Low	26.77	-49.9	49.6
					
Toledo	Amb_Header	Ambient	26.82	-55	49.6
					
Toledo	XLow_Header	XLow	26.69	-18	49.3
					
Thermo	Low_Header	Low	26.7	-46.1	55
					
Thermo	Amb_Header	Ambient	26.8	-59	55.03
					
Thermo	XLow_Header	XLow	26.7	-21.2	54.92
