mVTris,TTris
-68.2,25.04
-67.9,25.35
-67.6,25.58
-67.2,25.96
-66.8,26.28
-66.5,26.6
-66,26.88
-65.6,27.21
-65.3,27.44
-65,27.65
-64.7,27.86
-64.5,28.08
