Sample.ID,TA,Mass
20180602_Conical_1,2189.054719,59.12
20180602_Conical_2,2190.946593,60
20180602_Conical_3,2182.973843,60.52
20180602_Conical_4,2221.125825,59.59
20180602_Conical_5,2189.730352,59.64
20180602_Conical_6,2175.47269,60.6
20180602_Conical_7,2191.544534,59.96
20180602_Conical_8,2186.922133,59.57
20180602_Conical_9,2189.061196,59.59
20180604_Conical_1,2191.600723,59.54
20180604_Conical_2,2193.820181,59.22
20180604_Conical_3,2184.597065,59.54
20180604_Conical_4,2185.943994,59.03
20180604_Conical_5,2186.521975,59.86
20180604_Conical_6,2187.764796,59.62
20180604_Conical_7,2185.720676,59.57
20180604_Conical_8,2185.370426,59.24
20180604_Conical_9,2188.258217,59.71
