mVTris,TTris
-68.4,24.96
-68.3,25.3
-68,25.56
-67.6,25.86
-67.3,26.14
-66.9,26.41
-66.4,26.81
-66,27.07
-65.7,27.3
-65.4,27.66
-64.9,27.91
-64.6,28.1
