DATE,PURPOSE,SOURCE,TIME POINT,CONTENTS,TUBE NUMBER,STORAGE,FREEZER BOX #,FREEZER BOX ROW #,SHIPPED TO,SHIPPING DATE
20180612,20180612 Montipora Spawning,Collection bucket,Bundle ,Egg/sperm bundles,23-26,,,,,
20180612,20180612 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,27-29,,,,,
20180612,20180612 Montipora Spawning,Conical 8,Fertilized Eggs,Fertilized Eggs,30,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 9,Fertilized Eggs,Fertilized Eggs,31,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 4,Fertilized Eggs,Fertilized Eggs,32,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 1,Fertilized Eggs,Fertilized Eggs,116,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 2,Fertilized Eggs,Fertilized Eggs,117,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 3,Fertilized Eggs,Fertilized Eggs,103,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Concial 5,Fertilized Eggs,Fertilized Eggs,113,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 6,Fertilized Eggs,Fertilized Eggs,115,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 7,Fertilized Eggs,Fertilized Eggs,114,"Snap frozen, -80C",,,,
20180612,20180612 Montipora Spawning,Conical 1,Fertilized Eggs,Fertilized Eggs,33,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 2,Fertilized Eggs,Fertilized Eggs,34,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 3,Fertilized Eggs,Fertilized Eggs,35,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 4,Fertilized Eggs,Fertilized Eggs,36,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 5,Fertilized Eggs,Fertilized Eggs,37,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 6,Fertilized Eggs,Fertilized Eggs,38,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 7,Fertilized Eggs,Fertilized Eggs,39,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 8,Fertilized Eggs,Fertilized Eggs,40,"Zfix, -20C",,,,
20180612,20180612 Montipora Spawning,Conical 9,Fertilized Eggs,Fertilized Eggs,41,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 1,1:02 AM,Cleaving Eggs,42,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 2,1:03 AM,Cleaving Eggs,43,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 3,1:04 AM,Cleaving Eggs,44,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 4,1:05 AM,Cleaving Eggs,45,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 5,1:06 AM,Cleaving Eggs,46,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 6,1:07 AM,Cleaving Eggs,47,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 7,1:08 AM,Cleaving Eggs,49,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 8,1:09 AM,Cleaving Eggs,50,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 9,1:10 AM,Cleaving Eggs,48,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 1,1:02 AM,Cleaving Eggs,51,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 2,1:03 AM,Cleaving Eggs,52,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 3,1:04 AM,Cleaving Eggs,53,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 4,1:05 AM,Cleaving Eggs,54,"Zfix, -20C",,,,
