sample,mass,salinity
20180604_1,59.54,32.1
20180604_7,59.57,32.2
20180604_4,59.03,31.7
20180604_9,59.71,31.8
20180604_8,59.24,32.5
20180604_3,59.54,32
20180604_2,59.22,31.6
20180604_5,59.86,32.1
20180604_6,59.62,32.2
