Date,Calib.Date,Time,Sample.ID,Treatment,Type,Temperature,pH.MV,Salinity,Period1,Notes
20180711,20180711,9:12,Tank10,Ambient,Tank,26.78,-53.9,34.56,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,9:12,Tank11,XLow,Tank,26.65,-27.5,34.57,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,9:12,Tank12,Low,Tank,26.51,-42.4,34.54,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,9:12,Tank13,Ambient,Tank,26.57,-53.8,34.59,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,9:12,Tank14,XLow,Tank,26.48,-27,34.56,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,9:12,Tank15,Low,Tank,26.23,-43.8,34.59,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,12:18,Tank10,Ambient,Tank,26.92,-54.2,34.55,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,12:18,Tank11,XLow,Tank,26.76,-28,34.54,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,12:18,Tank12,Low,Tank,26.64,-43,34.53,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,12:18,Tank13,Ambient,Tank,26.67,-54.1,34.48,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,12:18,Tank14,XLow,Tank,26.59,-27.3,34.53,Mon1,New meter + Mettler Toledo; direct measurement
20180711,20180711,12:18,Tank15,Low,Tank,26.35,-43.9,34.54,Mon1,New meter + Mettler Toledo; direct measurement
