Sample.ID,TA,Mass,Tank,Type
20180711_Tank10,2223.074497,59.39,Tank10,Tank
20180711_Tank11,2187.599049,59.66,Tank11,Tank
20180711_Tank12,2183.97422,59.91,Tank12,Tank
20180711_Tank13,2235.556943,59.11,Tank13,Tank
20180711_Tank14,2208.838621,59.32,Tank14,Tank
20180711_Tank15,2203.991596,59.73,Tank15,Tank
