"Sample.ID","TA","Mass","Tank","Type"
"20180707_JUNK15",2226.82362209633,59.62,"JUNK15","JUNK"
"20180707_CRM1",2224.03956794182,59.35,"CRM1","CRM"
"20180707_CRM2",2220.08984301565,59.84,"CRM2","CRM"
