mVTris,TTris
-69.8,24.8
-69.1,25.1
-68.6,25.4
-68.2,25.7
-67.9,26
-67.3,26.4
-66.9,26.6
-66.5,26.9
-66.1,27.2
-65.7,27.5
-65.5,27.6
-65.1,27.8
-64.8,28.1
