mVTris,TTris
-65.3,24.73
-64.9,25.07
-64.4,25.37
-64,25.64
-63.6,26.02
-63.1,26.36
-62.8,26.68
-62.4,26.96
-62,27.23
-61.6,27.49
-61.4,27.74
-61.1,27.96
-60.8,28.09
