<<<<<<< HEAD
mVTris,TTris
-64.7,24.78
-64.3,25.01
-63.9,25.34
-63.6,25.59
-63.2,25.88
-62.9,26.07
-62.5,26.41
-62,26.81
-61.9,26.92
-61.3,27.37
-61.2,27.45
-60.7,27.76
-60.2,28.16
=======
mVTris,TTris
-64.7,24.78
-64.3,25.01
-63.9,25.31
-63.6,25.59
-63.2,25.88
-62.9,26.07
-62.5,26.41
-62,26.81
-61.4,26.92
-61.3,27.37
-61.2,27.45
-60.7,27.76
-60.2,28.16
>>>>>>> 57aa66d495f17b0a8df82ac67d80a45be4db177c
