mVTris,TTris
-67.8,25.10
-67.3,25.49
-66.9,25.81
-66.4,26.24
-65.8,26.63
-65.4,27.00
-64.9,27.41
-64.4,27.75
-64.2,27.97
-64.1,28.03
-63.7,28.39
-63.3,28.67
-62.9,28.92
-62.8,29.08
