mVTris,TTris
-67.9,24.69
-67.5,25.02
-67,25.34
-66.7,25.63
-66.3,25.94
-65.9,26.27
-65.5,26.52
-65.2,26.79
-64.8,27.08
-64.4,27.4
-64.1,27.69
-63.7,27.99
-63.3,28.28
-63,28.56
-62.8,28.73
-62.5,28.96
