mVTris,TTris
-64.3,25.04
-63.9,25.35
-63.7,25.58
-63.2,25.96
-62.8,26.28
-62.5,26.6
-62,26.88
-61.7,27.21
-61.3,27.44
-61.1,27.65
-60.8,27.86
-60.5,28.08
