mVTris,TTris
-65.8,25
-65,25.39
-64.5,25.74
-64,26.01
-63.6,26.38
-63.2,26.66
-62.8,26.94
-62.5,27.24
-62.2,27.44
-61.9,27.68
-61.6,27.94
-61.2,28.23
-60.7,28.61
-60.4,28.89
-60.2,28.99
