mVTris,TTris
-66.9,25.08
-66.3,25.55
-65.9,25.85
-65.6,26.01
-65.3,26.29
-64.8,26.7
-64.3,27.12
-63.9,27.46
-63.4,27.82
-63,28.07
-62.8,28.3
-62.3,28.62
-61.9,28.98
-61.6,29.18
