mVTris,TTris
-66.3,25.1
-66,25.44
-65.8,25.65
-65.2,26.11
-65,26.35
-64.6,26.65
-63.9,26.94
-63.6,27.22
-63.2,27.5
-62.8,27.79
-62.5,28.04
-62.1,28.36
-61.7,28.63
-61.4,28.89
-61.2,29.01
