mVTris,TTris
-66.4,25.15
-66,25.48
-65.3,26.02
-64.8,26.45
-64.3,26.87
-64,27.12
-63.4,27.58
-63,27.92
-62.6,28.19
-62.1,28.61
-61.5,29.02
