mVTris,Ttris
-65.2,24.14
-64.3,25.14
-63.9,25.4
-63,25.75
-61.4,26.57
-61,26.8
-61.4,26.91
-59,27.14
-57.8,27.24
-58.9,27.81
-58.9,28.38
