mVTris,TTris
-68.4,25.10
-67.9,25.48
-67.3,25.93
-66.9,26.28
-66.5,26.57
-66.2,26.83
-65.9,27.10
-65.6,27.36
-65.2,27.69
-64.7,28.03
-64.3,28.39
-63.9,28.67
-63.6,28.91
-63.4,29.03

