mVTris,TTris
-66.3,25.11
-65.9,25.42
-65.6,25.72
-65,26.01
-64.6,26.38
-64.2,26.7
-63.9,27.01
-63.4,27.3
-63.1,27.57
-62.8,27.85
-62.3,28.2
-61.9,28.54
-61.6,28.77
-61.3,29.03
