Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-35.8,,25.7,,
1,0.0010,-36.4,0.0010,25.7,-0.6,
2,0.0025,-36.5,0.0015,25.7,-0.1,
3,0.0050,-36.5,0.0025,25.7,0.0,
4,0.0085,-36.6,0.0035,25.7,-0.1,
5,0.0145,-36.3,0.0060,25.7,0.3,
6,0.0230,-35.6,0.0085,25.7,0.7,
7,0.0315,-34.6,0.0085,25.7,1.0,
8,0.0400,-33.4,0.0085,25.7,1.2,
9,0.0475,-32.2,0.0075,25.7,1.2,
10,0.0560,-30.4,0.0085,25.7,1.8,
11,0.0645,-28.5,0.0085,25.7,1.9,
12,0.0730,-26.7,0.0085,25.7,1.8,
13,0.0815,-24.9,0.0085,25.7,1.8,
14,0.0900,-22.7,0.0085,25.7,2.2,
15,0.0985,-20.6,0.0085,25.7,2.1,
16,0.1060,-18.4,0.0075,25.7,2.2,
17,0.1145,-15.7,0.0085,25.7,2.7,
18,0.1230,-13.2,0.0085,25.7,2.5,
19,0.1315,-10.4,0.0085,25.7,2.8,
20,0.1400,-8.0,0.0085,25.7,2.4,
21,0.1485,-5.8,0.0085,25.7,2.2,
22,0.1570,-3.4,0.0085,25.7,2.4,
23,0.1645,-0.4,0.0075,25.7,3.0,
24,0.1730,0.1,0.0085,25.7,0.5,
25,0.1815,2.8,0.0085,25.7,2.7,
26,0.1900,4.0,0.0085,25.7,1.2,
27,0.1985,5.0,0.0085,25.7,1.0,
28,0.2070,5.9,0.0085,25.7,0.9,
29,0.2145,6.8,0.0075,25.7,0.9,
30,0.2230,8.2,0.0085,25.7,1.4,
31,0.2315,9.6,0.0085,25.7,1.4,
32,0.2400,10.9,0.0085,25.7,1.3,
33,0.2480,11.9,0.0080,25.7,1.0,
34,0.2565,13.0,0.0085,25.7,1.1,
35,0.2650,14.1,0.0085,25.7,1.1,
36,0.2730,15.0,0.0080,25.7,0.9,
37,0.2815,16.0,0.0085,25.7,1.0,
38,0.2895,16.9,0.0080,25.7,0.9,
39,0.2980,18.0,0.0085,25.7,1.1,
40,0.3065,19.0,0.0085,25.7,1.0,
41,0.3150,20.0,0.0085,25.7,1.0,
42,0.3235,21.0,0.0085,25.7,1.0,
43,0.3310,21.7,0.0075,25.7,0.7,
44,0.3395,22.6,0.0085,25.7,0.9,
45,0.3480,23.3,0.0085,25.7,0.7,
46,0.3565,24.4,0.0085,25.7,1.1,
47,0.3650,25.3,0.0085,25.7,0.9,
48,0.3735,26.2,0.0085,25.7,0.9,
49,0.3820,26.9,0.0085,25.7,0.7,
50,0.3895,27.8,0.0075,25.7,0.9,
51,0.3980,28.6,0.0085,25.7,0.8,
52,0.4065,29.3,0.0085,25.7,0.7,
53,0.4150,30.0,0.0085,25.7,0.7,
54,0.4235,30.9,0.0085,25.7,0.9,
55,0.4320,31.6,0.0085,25.7,0.7,
56,0.4405,32.3,0.0085,25.7,0.7,
57,0.4480,33.2,0.0075,25.7,0.9,
58,0.4565,33.9,0.0085,25.7,0.7,
59,0.4650,34.7,0.0085,25.7,0.8,
60,0.4735,35.5,0.0085,25.7,0.8,
61,0.4820,36.3,0.0085,25.7,0.8,
62,0.4905,36.9,0.0085,25.7,0.6,
63,0.4980,37.5,0.0075,25.7,0.6,
64,0.5065,38.3,0.0085,25.7,0.8,
65,0.5150,39.1,0.0085,25.7,0.8,
66,0.5235,39.8,0.0085,25.7,0.7,
67,0.5320,40.4,0.0085,25.7,0.6,
68,0.5405,41.2,0.0085,25.7,0.8,
69,0.5490,42.0,0.0085,25.7,0.8,
70,0.5565,42.8,0.0075,25.7,0.8,
71,0.5650,43.4,0.0085,25.7,0.6,
72,0.5735,44.3,0.0085,25.7,0.9,
73,0.5820,44.8,0.0085,25.6,0.5,
74,0.5905,45.3,0.0085,25.6,0.5,
75,0.5990,46.1,0.0085,25.6,0.8,
76,0.6065,46.7,0.0075,25.6,0.6,
77,0.6150,47.3,0.0085,25.6,0.6,
78,0.6235,48.0,0.0085,25.6,0.7,
79,0.6320,48.9,0.0085,25.6,0.9,
80,0.6405,49.5,0.0085,25.6,0.6,
81,0.6490,50.2,0.0085,25.6,0.7,
82,0.6575,50.8,0.0085,25.6,0.6,
83,0.6650,51.5,0.0075,25.6,0.7,
84,0.6735,52.4,0.0085,25.6,0.9,
85,0.6820,53.1,0.0085,25.6,0.7,
86,0.6905,53.7,0.0085,25.6,0.6,
87,0.6990,54.4,0.0085,25.6,0.7,
88,0.7075,55.2,0.0085,25.6,0.8,
89,0.7155,55.9,0.0080,25.6,0.7,
90,0.7235,56.6,0.0080,25.6,0.7,
91,0.7320,57.3,0.0085,25.6,0.7,
92,0.7405,58.0,0.0085,25.6,0.7,
93,0.7490,58.8,0.0085,25.6,0.8,
94,0.7570,59.4,0.0080,25.6,0.6,
95,0.7655,60.1,0.0085,25.6,0.7,
96,0.7735,60.7,0.0080,25.6,0.6,
97,0.7820,61.5,0.0085,25.6,0.8,
98,0.7900,62.2,0.0080,25.6,0.7,
99,0.7985,62.9,0.0085,25.6,0.7,
100,0.8070,63.5,0.0085,25.6,0.6,
101,0.8155,64.4,0.0085,25.6,0.9,
102,0.8240,65.1,0.0085,25.6,0.7,
103,0.8315,66.1,0.0075,25.6,1.0,
104,0.8400,66.8,0.0085,25.6,0.7,
105,0.8485,67.3,0.0085,25.6,0.5,
106,0.8570,68.0,0.0085,25.6,0.7,
107,0.8655,68.7,0.0085,25.6,0.7,
108,0.8740,69.9,0.0085,25.6,1.2,
109,0.8825,70.5,0.0085,25.6,0.6,
110,0.8900,71.3,0.0075,25.6,0.8,
111,0.8985,71.9,0.0085,25.6,0.6,
112,0.9070,72.8,0.0085,25.6,0.9,
113,0.9155,73.6,0.0085,25.6,0.8,
114,0.9240,74.5,0.0085,25.6,0.9,
115,0.9325,75.4,0.0085,25.6,0.9,
116,0.9410,76.3,0.0085,25.6,0.9,
117,0.9485,77.1,0.0075,25.6,0.8,
118,0.9570,77.9,0.0085,25.6,0.8,
119,0.9655,78.8,0.0085,25.6,0.9,
120,0.9740,79.8,0.0085,25.6,1.0,
121,0.9825,80.7,0.0085,25.6,0.9,
122,0.9910,81.3,0.0085,25.6,0.6,
123,0.9985,82.4,0.0075,25.6,1.1,
124,1.0070,83.4,0.0085,25.6,1.0,
125,1.0155,84.5,0.0085,25.6,1.1,
126,1.0240,85.9,0.0085,25.6,1.4,
127,1.0325,86.8,0.0085,25.6,0.9,
128,1.0410,87.3,0.0085,25.6,0.5,
129,1.0495,88.8,0.0085,25.6,1.5,
130,1.0570,89.8,0.0075,25.6,1.0,
131,1.0655,90.8,0.0085,25.6,1.0,
132,1.0740,92.5,0.0085,25.6,1.7,
133,1.0825,93.4,0.0085,25.6,0.9,
134,1.0910,94.4,0.0085,25.6,1.0,
135,1.0995,95.7,0.0085,25.6,1.3,
136,1.1080,96.7,0.0085,25.6,1.0,
137,1.1155,98.4,0.0075,25.6,1.7,
138,1.1240,100.0,0.0085,25.6,1.6,
139,1.1325,101.0,0.0085,25.6,1.0,
140,1.1410,102.6,0.0085,25.6,1.6,
141,1.1495,104.6,0.0085,25.6,2.0,
142,1.1580,106.2,0.0085,25.6,1.6,
143,1.1655,107.7,0.0075,25.6,1.5,
144,1.1740,109.2,0.0085,25.6,1.5,
145,1.1825,111.0,0.0085,25.6,1.8,
146,1.1910,113.8,0.0085,25.6,2.8,
147,1.1995,115.6,0.0085,25.6,1.8,
148,1.2075,117.8,0.0080,25.6,2.2,
149,1.2160,120.8,0.0085,25.6,3.0,
150,1.2240,122.0,0.0080,25.6,1.2,
151,1.2325,124.0,0.0085,25.6,2.0,
152,1.2410,126.5,0.0085,25.6,2.5,
153,1.2490,129.5,0.0080,25.6,3.0,
154,1.2575,132.3,0.0085,25.6,2.8,
155,1.2660,136.9,0.0085,25.6,4.6,
156,1.2745,139.0,0.0085,25.6,2.1,
157,1.2825,142.0,0.0080,25.6,3.0,
158,1.2905,145.8,0.0080,25.6,3.8,
159,1.2990,148.7,0.0085,25.6,2.9,
160,1.3075,152.2,0.0085,25.6,3.5,
