"Sample.ID","TA","Mass","Tank","Type"
"20180627_Tank11",2203.28360042332,59.6,"Tank11","Tank"
"20180627_Tank15",2193.89484324633,59.61,"Tank15","Tank"
"20180627_Tank13",2190.40748164473,59.45,"Tank13","Tank"
"20180627_Tank10",2192.54747672763,60,"Tank10","Tank"
"20180627_Tank14",2192.82903755727,59.45,"Tank14","Tank"
"20180627_Tank12",2193.14617580743,59.65,"Tank12","Tank"
"20180627_Conical17",2193.32194330377,59.16,"Conical17","Conical"
"20180627_Conical18",2195.32669235205,59.56,"Conical18","Conical"
"20180627_Conical16",2195.27209195736,59.67,"Conical16","Conical"
