Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/3",,,,
Measured Values,,"Scope 1/1, Sample 1/3",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-19.1,,26.0,,
1,0.0010,-19.8,0.0010,26.0,-0.7,
2,0.0025,-20.1,0.0015,26.0,-0.3,
3,0.0050,-20.3,0.0025,26.0,-0.2,
4,0.0090,-20.4,0.0040,26.0,-0.1,
5,0.0150,-20.4,0.0060,26.0,0.0,
6,0.0235,-20.0,0.0085,26.0,0.4,
7,0.0320,-19.4,0.0085,26.0,0.6,
8,0.0405,-18.4,0.0085,26.0,1.0,
9,0.0480,-17.5,0.0075,26.0,0.9,
10,0.0565,-16.4,0.0085,26.0,1.1,
11,0.0650,-15.1,0.0085,26.0,1.3,
12,0.0735,-13.8,0.0085,26.0,1.3,
13,0.0820,-12.5,0.0085,26.0,1.3,
14,0.0905,-11.1,0.0085,26.0,1.4,
15,0.0980,-9.6,0.0075,26.0,1.5,
16,0.1065,-8.0,0.0085,26.0,1.6,
17,0.1150,-6.2,0.0085,26.0,1.8,
18,0.1235,-4.0,0.0085,26.0,2.2,
19,0.1320,-1.8,0.0085,26.0,2.2,
20,0.1405,-0.8,0.0085,26.0,1.0,
21,0.1480,0.5,0.0075,26.0,1.3,
22,0.1565,3.1,0.0085,26.0,2.6,
23,0.1650,4.3,0.0085,26.0,1.2,
24,0.1735,5.4,0.0085,26.0,1.1,
25,0.1820,6.2,0.0085,26.0,0.8,
26,0.1905,7.3,0.0085,26.0,1.1,
27,0.1990,8.5,0.0085,26.0,1.2,
28,0.2065,9.7,0.0075,26.0,1.2,
29,0.2150,10.8,0.0085,26.0,1.1,
30,0.2235,12.0,0.0085,26.0,1.2,
31,0.2320,12.9,0.0085,26.0,0.9,
32,0.2405,13.8,0.0085,26.0,0.9,
33,0.2490,14.6,0.0085,26.0,0.8,
34,0.2575,15.4,0.0085,26.0,0.8,
35,0.2650,16.2,0.0075,26.0,0.8,
36,0.2735,17.0,0.0085,26.0,0.8,
37,0.2820,17.8,0.0085,26.0,0.8,
38,0.2905,18.6,0.0085,26.0,0.8,
39,0.2990,19.4,0.0085,26.0,0.8,
40,0.3075,20.1,0.0085,26.0,0.7,
41,0.3160,20.8,0.0085,26.0,0.7,
42,0.3235,21.6,0.0075,26.0,0.8,
43,0.3320,22.3,0.0085,26.0,0.7,
44,0.3405,23.0,0.0085,26.0,0.7,
45,0.3490,23.7,0.0085,26.0,0.7,
46,0.3575,24.5,0.0085,26.0,0.8,
47,0.3660,25.2,0.0085,26.0,0.7,
48,0.3740,25.7,0.0080,26.0,0.5,
49,0.3820,26.3,0.0080,26.0,0.6,
50,0.3905,27.0,0.0085,26.0,0.7,
51,0.3990,27.6,0.0085,26.0,0.6,
52,0.4075,28.3,0.0085,26.0,0.7,
53,0.4155,29.0,0.0080,26.0,0.7,
54,0.4240,29.7,0.0085,26.0,0.7,
55,0.4320,30.2,0.0080,26.0,0.5,
56,0.4405,30.8,0.0085,26.0,0.6,
57,0.4485,31.4,0.0080,26.0,0.6,
58,0.4570,32.1,0.0085,26.0,0.7,
59,0.4655,32.7,0.0085,26.0,0.6,
60,0.4740,33.3,0.0085,26.0,0.6,
61,0.4825,34.0,0.0085,25.9,0.7,
62,0.4905,34.6,0.0080,26.0,0.6,
63,0.4985,35.2,0.0080,26.0,0.6,
64,0.5070,35.9,0.0085,26.0,0.7,
65,0.5155,36.4,0.0085,26.0,0.5,
66,0.5240,37.0,0.0085,26.0,0.6,
67,0.5325,37.6,0.0085,26.0,0.6,
68,0.5410,38.2,0.0085,26.0,0.6,
69,0.5485,38.9,0.0075,25.9,0.7,
70,0.5570,39.5,0.0085,26.0,0.6,
71,0.5655,40.1,0.0085,25.9,0.6,
72,0.5740,40.7,0.0085,25.9,0.6,
73,0.5825,41.3,0.0085,25.9,0.6,
74,0.5910,41.8,0.0085,25.9,0.5,
75,0.5985,42.4,0.0075,25.9,0.6,
76,0.6070,43.0,0.0085,25.9,0.6,
77,0.6155,43.7,0.0085,25.9,0.7,
78,0.6240,44.2,0.0085,25.9,0.5,
79,0.6325,44.7,0.0085,25.9,0.5,
80,0.6410,45.3,0.0085,25.9,0.6,
81,0.6495,45.9,0.0085,25.9,0.6,
82,0.6570,46.4,0.0075,25.9,0.5,
83,0.6655,47.0,0.0085,25.9,0.6,
84,0.6740,47.5,0.0085,25.9,0.5,
85,0.6825,48.2,0.0085,25.9,0.7,
86,0.6910,48.8,0.0085,25.9,0.6,
87,0.6995,49.5,0.0085,25.9,0.7,
88,0.7070,50.0,0.0075,25.9,0.5,
89,0.7155,50.5,0.0085,25.9,0.5,
90,0.7240,51.0,0.0085,25.9,0.5,
91,0.7325,51.7,0.0085,25.9,0.7,
92,0.7410,52.4,0.0085,25.9,0.7,
93,0.7495,53.0,0.0085,25.9,0.6,
94,0.7580,53.6,0.0085,25.9,0.6,
95,0.7655,54.0,0.0075,25.9,0.4,
96,0.7740,54.7,0.0085,25.9,0.7,
97,0.7825,55.5,0.0085,25.9,0.8,
98,0.7910,56.2,0.0085,25.9,0.7,
99,0.7995,56.8,0.0085,25.9,0.6,
100,0.8080,57.6,0.0085,25.9,0.8,
101,0.8165,58.2,0.0085,25.9,0.6,
102,0.8240,58.7,0.0075,25.9,0.5,
103,0.8325,59.3,0.0085,25.9,0.6,
104,0.8410,60.0,0.0085,25.9,0.7,
105,0.8495,60.7,0.0085,25.9,0.7,
106,0.8580,61.3,0.0085,25.9,0.6,
107,0.8660,61.9,0.0080,25.9,0.6,
108,0.8745,62.7,0.0085,25.9,0.8,
109,0.8825,63.4,0.0080,25.9,0.7,
110,0.8910,64.1,0.0085,25.9,0.7,
111,0.8990,64.8,0.0080,25.9,0.7,
112,0.9075,65.5,0.0085,25.9,0.7,
113,0.9160,66.3,0.0085,25.9,0.8,
114,0.9245,67.0,0.0085,25.9,0.7,
115,0.9330,67.7,0.0085,25.9,0.7,
116,0.9405,68.3,0.0075,25.9,0.6,
117,0.9490,69.1,0.0085,25.9,0.8,
118,0.9575,69.9,0.0085,25.9,0.8,
119,0.9660,70.9,0.0085,25.9,1.0,
120,0.9745,71.8,0.0085,25.9,0.9,
121,0.9830,72.5,0.0085,25.9,0.7,
122,0.9915,73.4,0.0085,25.9,0.9,
123,0.9990,74.2,0.0075,25.9,0.8,
124,1.0075,75.1,0.0085,25.9,0.9,
125,1.0160,76.1,0.0085,25.9,1.0,
126,1.0245,76.9,0.0085,25.9,0.8,
127,1.0330,77.7,0.0085,25.9,0.8,
128,1.0415,78.5,0.0085,25.9,0.8,
129,1.0500,79.4,0.0085,25.9,0.9,
130,1.0575,80.5,0.0075,25.9,1.1,
131,1.0660,81.4,0.0085,25.9,0.9,
132,1.0745,82.5,0.0085,25.9,1.1,
133,1.0830,83.6,0.0085,25.9,1.1,
134,1.0915,84.6,0.0085,25.9,1.0,
135,1.1000,85.8,0.0085,25.9,1.2,
136,1.1085,86.8,0.0085,25.9,1.0,
137,1.1160,88.0,0.0075,25.9,1.2,
138,1.1245,89.3,0.0085,25.9,1.3,
139,1.1330,90.4,0.0085,25.9,1.1,
140,1.1415,91.9,0.0085,25.9,1.5,
141,1.1500,93.3,0.0085,25.9,1.4,
142,1.1585,94.6,0.0085,25.9,1.3,
143,1.1660,95.9,0.0075,25.9,1.3,
144,1.1745,97.4,0.0085,25.9,1.5,
145,1.1830,98.9,0.0085,25.9,1.5,
146,1.1915,100.8,0.0085,25.9,1.9,
147,1.2000,103.0,0.0085,25.9,2.2,
148,1.2085,104.9,0.0085,25.9,1.9,
149,1.2165,106.6,0.0080,25.9,1.7,
150,1.2245,108.9,0.0080,25.9,2.3,
151,1.2330,111.1,0.0085,25.9,2.2,
152,1.2415,113.5,0.0085,25.9,2.4,
153,1.2500,115.9,0.0085,25.9,2.4,
154,1.2585,118.3,0.0085,25.9,2.4,
155,1.2665,121.4,0.0080,25.9,3.1,
156,1.2750,124.0,0.0085,25.9,2.6,
157,1.2830,126.5,0.0080,25.9,2.5,
158,1.2915,129.8,0.0085,25.9,3.3,
159,1.3000,132.6,0.0085,25.9,2.8,
160,1.3080,136.1,0.0080,25.9,3.5,
