Sample.ID,TA,Mass,Tank,Type,
20180702_JUNK15,2246.442391,59.13,JUNK15,JUNK,
20180702_CRM1,2212.897401,59.83,CRM1,CRM,
20180702_CRM2,2199.289491,59.81,CRM2,CRM,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,  b
