"Sample.ID","TA","Mass","Tank","Type"
"20180714_JUNK15",2221.96821455486,59.13,"JUNK15","JUNK"
"20180714_CRM1",2232.7637612688,59.81,"CRM1","CRM"
"20180714_CRM2",2235.54322065461,59.87,"CRM2","CRM"
