sample,mass,salinity,Sample.ID,Type
20180714_JUNK15,59.13,34.61,JUNK15,JUNK
20180714_CRM1,59.81,33.607,CRM1,CRM
20180714_CRM2,59.87,33.607,CRM2,CRM
