sample,mass,salinity,Sample.ID,Type
20180702_Tank10,59.96,34.48,Tank10,Tank
20180702_Tank15,59.77,34.52,Tank15,Tank
20180702_Tank11,59.26,34.46,Tank11,Tank
20180702_Tank13,59.72,34.47,Tank13,Tank
20180702_Tank14,59.25,34.49,Tank14,Tank
20180702_Tank12,59.96,34.48,Tank12,Tank
