Titration report,,,,, ,
Method,,,,,,
Method ID,,000,,"Release state
",Released,
Name,,URIBioMin,,Modified by,SystemInternal,
Modified on,,5/29/2018 11:13:39 AM,,,,
Titration (EP) [1],,"Scope 1/1, Sample 1/6",,,,
Measured Values,,"Scope 1/1, Sample 1/6",,,,
Time,V,Meas. value,dV,Temp.,dE,EP
[s],[mL],[mV],[mL],[°C],[mV],
0,0.0000,-19.6,,24.5,,
1,0.0010,-19.7,0.0010,24.5,-0.1,
2,0.0025,-19.7,0.0015,24.5,0.0,
3,0.0050,-19.6,0.0025,24.5,0.1,
4,0.0085,-19.3,0.0035,24.5,0.3,
5,0.0150,-18.3,0.0065,24.5,1.0,
6,0.0230,-16.0,0.0080,24.5,2.3,
7,0.0315,-13.2,0.0085,24.5,2.8,
8,0.0395,-10.3,0.0080,24.5,2.9,
9,0.0480,-7.8,0.0085,24.5,2.5,
10,0.0565,-5.1,0.0085,24.5,2.7,
11,0.0645,-2.1,0.0080,24.5,3.0,
12,0.0730,-0.6,0.0085,24.5,1.5,
13,0.0815,2.2,0.0085,24.5,2.8,
14,0.0895,3.7,0.0080,24.5,1.5,
15,0.0980,5.3,0.0085,24.5,1.6,
16,0.1065,6.0,0.0085,24.5,0.7,
17,0.1145,7.7,0.0080,24.5,1.7,
18,0.1230,9.5,0.0085,24.5,1.8,
19,0.1315,10.8,0.0085,24.5,1.3,
20,0.1400,12.2,0.0085,24.5,1.4,
21,0.1480,13.2,0.0080,24.5,1.0,
22,0.1565,14.2,0.0085,24.5,1.0,
23,0.1650,14.9,0.0085,24.5,0.7,
24,0.1730,16.2,0.0080,24.5,1.3,
25,0.1815,17.4,0.0085,24.5,1.2,
26,0.1900,18.4,0.0085,24.5,1.0,
27,0.1980,19.0,0.0080,24.5,0.6,
28,0.2065,20.0,0.0085,24.5,1.0,
29,0.2150,21.0,0.0085,24.5,1.0,
30,0.2235,22.0,0.0085,24.5,1.0,
31,0.2315,22.7,0.0080,24.5,0.7,
32,0.2400,23.7,0.0085,24.5,1.0,
33,0.2480,24.5,0.0080,24.5,0.8,
34,0.2565,25.3,0.0085,24.5,0.8,
35,0.2650,26.2,0.0085,24.5,0.9,
36,0.2735,27.1,0.0085,24.5,0.9,
37,0.2815,27.9,0.0080,24.5,0.8,
38,0.2900,29.1,0.0085,24.5,1.2,
39,0.2980,30.1,0.0080,24.5,1.0,
40,0.3065,30.9,0.0085,24.5,0.8,
41,0.3150,31.3,0.0085,24.5,0.4,
42,0.3235,31.9,0.0085,24.5,0.6,
43,0.3320,32.8,0.0085,24.5,0.9,
44,0.3400,33.9,0.0080,24.5,1.1,
45,0.3485,34.4,0.0085,24.5,0.5,
46,0.3565,35.1,0.0080,24.5,0.7,
47,0.3650,35.7,0.0085,24.5,0.6,
48,0.3735,36.3,0.0085,24.5,0.6,
49,0.3820,37.0,0.0085,24.5,0.7,
50,0.3900,37.7,0.0080,24.5,0.7,
51,0.3985,38.6,0.0085,24.5,0.9,
52,0.4065,39.6,0.0080,24.5,1.0,
53,0.4150,40.1,0.0085,24.5,0.5,
54,0.4235,40.8,0.0085,24.5,0.7,
55,0.4320,41.6,0.0085,24.5,0.8,
56,0.4400,42.7,0.0080,24.5,1.1,
57,0.4485,43.2,0.0085,24.5,0.5,
58,0.4570,43.6,0.0085,24.5,0.4,
59,0.4650,44.2,0.0080,24.5,0.6,
60,0.4735,44.9,0.0085,24.5,0.7,
61,0.4815,45.7,0.0080,24.5,0.8,
62,0.4900,46.4,0.0085,24.5,0.7,
63,0.4985,46.6,0.0085,24.5,0.2,
64,0.5070,47.5,0.0085,24.5,0.9,
65,0.5150,48.4,0.0080,24.5,0.9,
66,0.5235,48.8,0.0085,24.5,0.4,
67,0.5315,49.5,0.0080,24.5,0.7,
68,0.5400,50.3,0.0085,24.5,0.8,
69,0.5485,51.1,0.0085,24.5,0.8,
70,0.5570,51.6,0.0085,24.5,0.5,
71,0.5655,52.1,0.0085,24.5,0.5,
72,0.5735,53.0,0.0080,24.5,0.9,
73,0.5815,53.4,0.0080,24.5,0.4,
74,0.5900,54.1,0.0085,24.5,0.7,
75,0.5985,54.8,0.0085,24.5,0.7,
76,0.6070,55.4,0.0085,24.4,0.6,
77,0.6155,56.3,0.0085,24.5,0.9,
78,0.6235,56.8,0.0080,24.5,0.5,
79,0.6320,57.2,0.0085,24.5,0.4,
80,0.6400,57.7,0.0080,24.5,0.5,
81,0.6485,58.3,0.0085,24.5,0.6,
82,0.6570,59.0,0.0085,24.5,0.7,
83,0.6655,59.9,0.0085,24.5,0.9,
84,0.6735,60.8,0.0080,24.5,0.9,
85,0.6820,61.6,0.0085,24.5,0.8,
86,0.6905,62.6,0.0085,24.5,1.0,
87,0.6985,63.1,0.0080,24.5,0.5,
88,0.7070,63.7,0.0085,24.5,0.6,
89,0.7155,64.0,0.0085,24.5,0.3,
90,0.7240,64.7,0.0085,24.5,0.7,
91,0.7320,65.4,0.0080,24.5,0.7,
92,0.7400,66.1,0.0080,24.5,0.7,
93,0.7485,66.4,0.0085,24.5,0.3,
94,0.7570,67.3,0.0085,24.5,0.9,
95,0.7655,68.0,0.0085,24.5,0.7,
96,0.7740,68.6,0.0085,24.5,0.6,
97,0.7820,69.1,0.0080,24.5,0.5,
98,0.7900,69.9,0.0080,24.5,0.8,
99,0.7985,71.0,0.0085,24.4,1.1,
100,0.8070,71.6,0.0085,24.5,0.6,
101,0.8155,71.9,0.0085,24.4,0.3,
102,0.8240,73.0,0.0085,24.5,1.1,
103,0.8320,73.5,0.0080,24.5,0.5,
104,0.8400,74.1,0.0080,24.5,0.6,
105,0.8485,75.8,0.0085,24.5,1.7,
106,0.8570,76.3,0.0085,24.5,0.5,
107,0.8655,76.6,0.0085,24.4,0.3,
108,0.8740,76.9,0.0085,24.4,0.3,
109,0.8825,78.5,0.0085,24.4,1.6,
110,0.8900,80.1,0.0075,24.5,1.6,
111,0.8985,79.8,0.0085,24.4,-0.3,
112,0.9070,81.1,0.0085,24.4,1.3,
113,0.9155,81.3,0.0085,24.4,0.2,
114,0.9240,81.7,0.0085,24.4,0.4,
115,0.9325,82.9,0.0085,24.4,1.2,
116,0.9400,83.4,0.0075,24.5,0.5,
117,0.9485,84.5,0.0085,24.5,1.1,
118,0.9570,85.7,0.0085,24.4,1.2,
119,0.9655,87.0,0.0085,24.4,1.3,
120,0.9740,87.7,0.0085,24.4,0.7,
121,0.9825,87.9,0.0085,24.5,0.2,
122,0.9905,89.1,0.0080,24.4,1.2,
123,0.9990,89.1,0.0085,24.4,0.0,
124,1.0070,90.5,0.0080,24.4,1.4,
125,1.0155,92.5,0.0085,24.5,2.0,
126,1.0240,93.6,0.0085,24.4,1.1,
127,1.0325,94.0,0.0085,24.4,0.4,
128,1.0410,94.6,0.0085,24.4,0.6,
129,1.0485,96.4,0.0075,24.4,1.8,
130,1.0570,98.3,0.0085,24.4,1.9,
131,1.0655,100.1,0.0085,24.4,1.8,
132,1.0740,100.1,0.0085,24.4,0.0,
133,1.0825,101.7,0.0085,24.4,1.6,
134,1.0910,103.4,0.0085,24.4,1.7,
135,1.0990,103.2,0.0080,24.4,-0.2,
136,1.1070,104.4,0.0080,24.4,1.2,
137,1.1155,107.5,0.0085,24.4,3.1,
138,1.1240,107.1,0.0085,24.4,-0.4,
139,1.1325,109.1,0.0085,24.4,2.0,
140,1.1410,111.3,0.0085,24.4,2.2,
141,1.1490,110.8,0.0080,24.4,-0.5,
142,1.1575,113.4,0.0085,24.4,2.6,
143,1.1655,114.7,0.0080,24.4,1.3,
144,1.1740,116.1,0.0085,24.4,1.4,
145,1.1825,118.0,0.0085,24.4,1.9,
146,1.1910,120.8,0.0085,24.4,2.8,
147,1.1995,122.8,0.0085,24.4,2.0,
148,1.2075,123.9,0.0080,24.4,1.1,
149,1.2155,126.6,0.0080,24.4,2.7,
150,1.2240,129.1,0.0085,24.4,2.5,
151,1.2325,131.7,0.0085,24.4,2.6,
152,1.2410,134.1,0.0085,24.4,2.4,
153,1.2495,137.3,0.0085,24.4,3.2,
154,1.2575,139.4,0.0080,24.4,2.1,
155,1.2660,141.4,0.0085,24.4,2.0,
156,1.2740,145.6,0.0080,24.4,4.2,
157,1.2825,148.2,0.0085,24.4,2.6,
158,1.2910,151.6,0.0085,24.4,3.4,
159,1.2995,154.3,0.0085,24.4,2.7,
160,1.3075,157.4,0.0080,24.4,3.1,
